"state_county_fips","Unemployed_2014"
20037,"1,026"
20039,"48"
20041,"496"
20043,"195"
20045,"2,626"
20047,"52"
20049,"66"
20051,"498"
20053,"103"
20055,"696"
20057,"696"
20059,"729"
20061,"875"
20063,"40"
20065,"45"
20067,"135"
20069,"94"
20071,"19"
20073,"151"
20075,"39"
20077,"111"
20079,"731"
20081,"62"
20083,"36"
20085,"308"
20087,"500"
20089,"55"
20091,"12,097"
20093,"65"
20095,"146"
20097,"46"
20099,"635"
20101,"28"
20103,"1,756"
20105,"73"
20107,"316"
20109,"39"
20111,"853"
20113,"554"
20115,"252"
20117,"192"
20119,"63"
20121,"803"
20123,"127"
20125,"1,012"
20127,"139"
20129,"60"
20131,"168"
20133,"467"
20135,"44"
20137,"74"
20139,"453"
20141,"79"
20143,"135"
20145,"130"
20147,"103"
20149,"470"
20151,"180"
20153,"38"
20155,"1,384"
20157,"79"
20159,"194"
20161,"1,359"
20163,"104"
20165,"65"
20167,"136"
20169,"1,298"
20171,"78"
20173,"13,337"
20175,"395"
20177,"4,416"
20179,"39"
20181,"99"
20183,"66"
20185,"82"
20187,"35"
20189,"102"
20191,"535"
20193,"128"
20195,"47"
20197,"157"
20199,"24"
20201,"101"
20203,"35"
20205,"279"
20207,"86"
20209,"5,230"
21000,"130,106"
21001,"595"
21003,"521"
21005,"603"
21007,"293"
21009,"1,195"
21011,"419"
21013,"949"
21015,"3,366"
21017,"550"
21019,"1,406"
21021,"854"
21023,"300"
21025,"485"
21027,"576"
21029,"2,280"
21031,"385"
21033,"357"
21035,"1,068"
21037,"2,500"
21039,"144"
21041,"351"
21043,"1,130"
21045,"459"
21047,"1,967"
21049,"1,046"
21051,"635"
21053,"363"
21055,"241"
21057,"226"
21059,"2,614"
21061,"402"
21063,"246"
21065,"404"
21067,"8,059"
21069,"500"
21071,"1,287"
21073,"1,298"
21075,"189"
21077,"262"
21079,"503"
21081,"724"
21083,"1,205"
21085,"915"
21087,"335"
21089,"1,187"
21091,"240"
21093,"2,909"
21095,"1,183"
21097,"508"
21099,"496"
21101,"1,326"
21103,"447"
21105,"133"
21107,"1,324"
21109,"531"
21111,"23,045"
21113,"1,311"
21115,"748"
21117,"4,638"
21119,"576"
21121,"1,014"
21123,"374"
21125,"1,828"
21127,"512"
21129,"220"
21131,"409"
21133,"903"
21135,"499"
21137,"827"
21139,"304"
21141,"679"
21143,"207"
21145,"2,087"
21147,"542"
21149,"282"
21151,"2,424"
21153,"523"
21155,"585"
21157,"1,029"
21159,"317"
21161,"604"
21163,"855"
21165,"233"
21167,"618"
21169,"253"
21171,"257"
21173,"874"
21175,"456"
21177,"944"
21179,"1,309"
21181,"278"
21183,"722"
21185,"1,433"
21187,"281"
21189,"127"
21191,"457"
21193,"997"
21195,"2,311"
21197,"424"
21199,"1,945"
21201,"62"
21203,"513"
21205,"731"
21207,"674"
21209,"1,292"
21211,"1,119"
21213,"497"
21215,"492"
21217,"824"
21219,"299"
21221,"408"
21223,"281"
21225,"432"
21227,"3,293"
21229,"338"
21231,"710"
21233,"351"
21235,"1,176"
21237,"232"
21239,"638"
22000,"137,577"
22001,"1,538"
22003,"650"
22005,"3,158"
22007,"770"
22009,"1,181"
22011,"1,013"
22013,"463"
22015,"3,354"
22017,"8,306"
22019,"5,597"
22021,"313"
22023,"170"
22025,"312"
22027,"484"
22029,"685"
22031,"904"
22033,"13,516"
22035,"332"
22037,"535"
22039,"893"
22041,"722"
22043,"595"
22045,"2,069"
22047,"1,138"
22049,"432"
22051,"13,161"
22053,"802"
22055,"5,998"
22057,"2,338"
22059,"348"
22061,"1,557"
22063,"3,657"
22065,"441"
22067,"1,270"
22069,"1,307"
22071,"12,516"
22073,"5,043"
22075,"594"
22077,"715"
22079,"3,904"
22081,"296"
22083,"748"
22085,"609"
22087,"1,320"
22089,"1,563"
22091,"464"
22093,"839"
22095,"1,598"
22097,"2,584"
22099,"1,420"
22101,"1,617"
22103,"6,479"
22105,"4,061"
22107,"169"
22109,"2,666"
22111,"697"
22113,"1,487"
22115,"1,483"
22117,"1,349"
22119,"1,328"
22121,"746"
22123,"555"
22125,"316"
22127,"405"
23000,"39,876"
23001,"3,070"
23003,"2,533"
23005,"7,060"
23007,"1,002"
23009,"2,089"
23011,"3,438"
23013,"1,074"
23015,"1,021"
23017,"1,924"
23019,"4,928"
23021,"582"
23023,"888"
23025,"1,945"
23027,"1,280"
23029,"1,222"
23031,"5,812"
24000,"181,352"
24001,"2,424"
24003,"15,231"
24005,"27,310"
24009,"2,503"
24011,"1,106"
24013,"4,523"
24015,"3,413"
24017,"4,494"
24019,"1,344"
24021,"6,498"
24023,"1,069"
24025,"7,801"
24027,"7,523"
24029,"665"
24031,"23,708"
24033,"28,297"
24035,"1,352"
24037,"2,913"
24039,"898"
24041,"1,079"
24043,"4,983"
24045,"3,801"
24047,"2,902"
24510,"25,516"
25000,"204,809"
25001,"7,833"
25003,"4,290"
25005,"21,206"
25007,"738"
25009,"24,064"
25011,"2,081"
25013,"17,401"
25015,"4,342"
25017,"39,593"
25019,"423"
25021,"18,346"
25023,"16,083"
25025,"22,067"
25027,"26,342"
26000,"347,972"
26001,"401"
26003,"340"
26005,"3,213"
26007,"1,067"
26009,"948"
26011,"700"
26013,"384"
26015,"1,615"
26017,"3,808"
26019,"738"
26021,"4,926"
26023,"1,264"
26025,"4,013"
26027,"1,583"
26029,"1,054"
26031,"1,117"
26033,"1,591"
26035,"1,156"
26037,"1,980"
26039,"503"
26041,"1,452"
26043,"862"
26045,"3,180"
26047,"1,684"
26049,"14,299"
26051,"921"
26053,"590"
26055,"2,831"
26057,"1,314"
26059,"1,441"
26061,"1,263"
26063,"1,139"
26065,"8,750"
26067,"1,778"
26069,"992"
26071,"448"
26073,"2,070"
26075,"4,834"
26077,"7,083"
26079,"719"
26081,"16,391"
26083,"105"
26085,"399"
26087,"3,944"
26089,"698"
26091,"3,086"
26093,"6,364"
26095,"210"
26097,"581"
26099,"34,201"
26101,"867"
26103,"2,348"
26105,"1,085"
26107,"1,484"
26109,"793"
26111,"2,501"
26113,"552"
26115,"4,630"
26117,"2,082"
26119,"406"
26121,"5,686"
26123,"1,608"
26125,"42,765"
26127,"1,270"
26129,"833"
26131,"270"
26133,"865"
26135,"350"
26137,"896"
26139,"7,038"
26141,"689"
26143,"902"
26145,"6,562"
26147,"7,302"
26149,"1,657"
26151,"1,655"
26153,"383"
26155,"2,468"
26157,"2,136"
26159,"2,786"
26161,"8,970"
26163,"76,863"
26165,"1,241"
27000,"121,626"
27001,"438"
27003,"7,681"
27005,"840"
27007,"1,222"
27009,"1,075"
27011,"113"
27013,"1,319"
27015,"638"
27017,"906"
27019,"1,915"
27021,"976"
27023,"306"
27025,"1,325"
27027,"1,178"
27029,"470"
27031,"169"
27033,"287"
27035,"1,807"
27037,"8,557"
27039,"460"
27041,"725"
27043,"377"
27045,"478"
27047,"692"
27049,"1,033"
27051,"162"
27053,"24,897"
27055,"456"
27057,"595"
27059,"1,010"
27061,"1,417"
27063,"258"
27065,"656"
27067,"990"
27069,"115"
27071,"541"
27073,"172"
27075,"255"
27077,"112"
27079,"822"
27081,"140"
27083,"536"
27085,"899"
27087,"131"
27089,"369"
27091,"475"
27093,"579"
27095,"850"
27097,"1,069"
27099,"760"
27101,"233"
27103,"591"
27105,"379"
27107,"163"
27109,"2,807"
27111,"1,378"
27113,"444"
27115,"886"
27117,"178"
27119,"770"
27121,"222"
27123,"10,942"
27125,"129"
27127,"348"
27129,"437"
27131,"1,419"
27133,"141"
27135,"317"
27137,"5,119"
27139,"2,743"
27141,"2,185"
27143,"376"
27145,"3,509"
27147,"791"
27149,"176"
27151,"234"
27153,"588"
27155,"77"
27157,"466"
27159,"377"
27161,"457"
27163,"4,842"
27165,"301"
27167,"119"
27169,"1,072"
27171,"2,934"
27173,"224"
28000,"96,343"
28001,"978"
28003,"1,021"
28005,"365"
28007,"655"
28009,"287"
28011,"1,327"
28013,"496"
28015,"319"
28017,"734"
28019,"300"
28021,"466"
28023,"577"
28025,"1,123"
28027,"1,181"
28029,"999"
28031,"516"
28033,"4,248"
28035,"2,431"
28037,"243"
28039,"747"
28041,"401"
28043,"681"
28045,"1,360"
28047,"5,863"
28049,"7,945"
28051,"973"
28053,"439"
28055,"78"
28057,"725"
28059,"4,860"
28061,"549"
28063,"396"
28065,"432"
28067,"1,659"
28069,"504"
28071,"1,425"
28073,"1,407"
28075,"2,547"
28077,"392"
28079,"572"
28081,"2,953"
28083,"1,396"
28085,"926"
28087,"2,346"
28089,"2,657"
28091,"856"
28093,"1,275"
28095,"1,617"
28097,"404"
28099,"729"
28101,"582"
28103,"536"
28105,"1,624"
28107,"1,470"
28109,"1,516"
28111,"381"
28113,"1,218"
28115,"936"
28117,"846"
28119,"371"
28121,"3,269"
28123,"697"
28125,"207"
28127,"693"
28129,"403"
28131,"538"
28133,"1,150"
28135,"568"
28137,"1,031"
28139,"738"
28141,"594"
28143,"582"
28145,"816"
28147,"495"
28149,"1,665"
28151,"2,446"
28153,"701"
28155,"362"
28157,"325"
28159,"757"
28161,"482"
28163,"970"
29000,"186,901"
29001,"682"
29003,"507"
29005,"158"
29007,"624"
29009,"905"
29011,"354"
29013,"572"
29015,"549"
29017,"386"
29019,"4,058"
29021,"2,636"
29023,"1,326"
29025,"245"
29027,"1,217"
29029,"1,519"
29031,"2,223"
29033,"340"
29035,"225"
29037,"3,022"
29039,"371"
29041,"223"
29043,"2,063"
29045,"235"
29047,"6,993"
29049,"639"
29051,"1,998"
29053,"455"
29055,"851"
29057,"209"
29059,"526"
29061,"236"
29063,"272"
29065,"419"
29067,"377"
29069,"1,154"
29071,"3,362"
29073,"406"
29075,"206"
29077,"7,160"
29079,"265"
29081,"258"
29083,"649"
29085,"311"
29087,"134"
29089,"270"
29091,"1,144"
29093,"373"
29095,"25,459"
29097,"3,051"
29099,"7,261"
29101,"1,465"
29103,"91"
29105,"1,279"
29107,"1,017"
29109,"1,028"
29111,"268"
29113,"1,722"
29115,"418"
29117,"365"
29119,"593"
29121,"458"
29123,"370"
29125,"245"
29127,"808"
29129,"94"
29131,"893"
29133,"461"
29135,"439"
29137,"275"
29139,"343"
29141,"682"
29143,"621"
29145,"1,538"
29147,"759"
29149,"309"
29151,"336"
29153,"318"
