"state_fips","county_fips","n_storms","total_intensity"
"17","007",94,3500
"17","009",49,2010
"17","011",158,6711
"17","013",65,2338
"17","015",155,6600
"17","017",91,2497
"17","019",227,8870
"17","021",142,4709
"17","023",89,2582
"17","025",119,4915
"17","027",165,6697
"17","029",141,5909
"17","031",747,34831
"17","033",105,3442
"17","035",62,2295
"17","037",191,8508
"17","038",1,52
"17","039",102,3640
"17","041",82,3086
"17","043",294,14588
"17","045",104,2967
"17","047",39,1812
"17","049",117,4034
"17","051",124,5410
"17","053",86,3336
"17","055",123,5366
"17","057",204,7254
"17","059",48,1860
"17","061",80,2725
"17","063",134,5657
"17","065",43,1524
"17","067",147,6067
"17","069",28,1068
"17","071",65,2876
"17","073",193,8320
"17","075",155,6651
"17","077",169,6559
"17","079",82,3093
"17","081",102,3909
"17","083",96,3335
"17","085",143,6145
"17","087",79,3307
"17","089",276,12571
"17","091",175,7539
"17","093",120,6216
"17","095",131,4600
"17","097",167,7645
"17","099",267,11581
"17","101",108,3850
"17","103",140,6038
"17","105",129,4589
"17","107",183,7470
"17","109",165,6882
"17","111",190,8971
"17","113",190,7093
"17","115",180,5373
"17","117",159,7134
"17","119",315,13676
"17","121",149,5732
"17","123",101,3492
"17","125",108,3147
"17","127",97,4316
"17","129",112,4149
"17","131",90,3553
"17","133",84,3446
"17","135",137,5431
"17","137",132,4184
"17","139",62,2111
"17","141",175,7748
"17","143",243,9076
"17","145",99,3408
"17","147",81,2644
"17","149",134,6124
"17","151",48,1944
"17","153",62,2527
"17","155",46,2120
"17","157",147,5623
"17","159",82,2554
"17","161",209,9243
"17","163",345,14770
"17","165",112,4894
"17","167",258,9917
"17","169",74,2648
"17","171",61,2140
"17","173",100,3574
"17","175",61,2283
"17","177",196,8640
"17","179",213,7404
"17","181",73,2623
"17","183",196,8327
"17","185",62,2585
"17","187",112,4229
"17","189",108,4167
"17","191",78,3204
"17","193",79,3127
"17","195",212,8240
"17","197",312,15326
"17","199",96,4308
"17","201",209,9456
"17","203",138,4815
"18","000",26,381
"18","001",82,2365
"18","003",274,9525
"18","005",136,4219
"18","007",77,3336
"18","009",58,1881
"18","011",147,5175
"18","013",74,2428
"18","015",114,4360
"18","017",153,4768
"18","019",119,5148
"18","021",88,2867
"18","023",124,4108
"18","025",125,5976
"18","027",122,4221
"18","029",101,3445
"18","031",99,3083
"18","033",83,2253
"18","035",166,6251
"18","037",122,5475
"18","039",233,7355
"18","041",83,2945
"18","043",106,4813
"18","045",85,3139
"18","047",85,3190
"18","049",95,2887
"18","051",123,4735
"18","053",141,4346
"18","055",115,3765
"18","057",188,6427
"18","059",128,4167
"18","061",141,6289
"18","063",194,8198
"18","065",139,4583
"18","067",120,3904
"18","069",146,5182
"18","071",121,3912
"18","073",82,3270
"18","075",74,1987
"18","077",77,3374
"18","079",79,2719
"18","081",165,5383
"18","083",168,6560
"18","085",217,7380
"18","087",111,3728
"18","089",204,9703
"18","091",206,7365
"18","093",123,4400
"18","095",209,7271
"18","097",345,12440
"18","099",130,4031
"18","101",66,2044
"18","103",176,6536
"18","105",141,5173
"18","107",138,3753
"18","109",150,5595
"18","111",62,2358
"18","113",145,4420
"18","115",38,1428
"18","117",81,3654
"18","119",101,3491
"18","121",113,4093
"18","123",73,3109
"18","125",74,2829
"18","127",129,5990
"18","129",101,3770
"18","131",66,1569
"18","133",125,4466
"18","135",109,3610
"18","137",118,3949
"18","139",109,3358
"18","141",273,9135
"18","143",55,2362
"18","145",157,4826
"18","147",112,4431
"18","149",96,3124
"18","151",107,4446
"18","153",96,3022
"18","155",62,2299
"18","157",202,8104
"18","159",60,2187
"18","161",62,2547
"18","163",168,6715
"18","165",96,3120
"18","167",186,7704
"18","169",99,2845
"18","171",72,2291
"18","173",98,3939
"18","175",97,4303
"18","177",193,6721
"18","179",100,3369
"18","181",112,3010
"18","183",137,4623
"18","185",1,0
"19","000",68,2320
"19","001",117,6197
"19","003",71,3663
"19","005",92,3805
"19","007",86,4346
"19","009",70,3281
"19","011",290,14587
"19","013",201,10118
"19","015",173,8645
"19","017",111,5116
"19","019",159,7524
"19","021",95,4028
"19","023",88,4409
"19","025",89,4117
"19","027",139,7440
"19","029",163,8284
"19","031",195,8424
"19","032",1,62
"19","033",149,7446
"19","035",82,3444
"19","037",73,3491
"19","039",61,3059
"19","041",120,5931
"19","043",120,4914
"19","045",198,8349
"19","047",145,7077
"19","049",249,12978
"19","051",76,3647
"19","053",86,4158
"19","055",143,5941
"19","057",141,6618
"19","059",111,5510
"19","061",211,9080
"19","063",91,4739
"19","065",135,5848
"19","067",82,3148
"19","069",104,4766
"19","071",83,3359
"19","073",85,3945
"19","075",99,4657
"19","077",112,5850
"19","079",108,5230
"19","081",79,3398
"19","083",126,6502
"19","085",154,6773
"19","087",96,4334
"19","089",79,3302
"19","091",67,3123
"19","093",64,2783
"19","095",102,4394
"19","097",134,6325
"19","099",147,7192
"19","101",92,4107
"19","103",176,8279
"19","105",179,8225
"19","107",93,4168
"19","109",124,6001
"19","111",154,7093
"19","113",389,20485
"19","115",61,2556
"19","117",56,2970
"19","119",80,3839
"19","121",94,5403
"19","123",120,5677
"19","125",156,8013
"19","127",147,7091
"19","129",89,4019
"19","131",75,3228
"19","133",115,4817
"19","135",51,2325
"19","137",64,3153
"19","139",151,7143
"19","141",136,5675
"19","143",60,2890
"19","145",105,4452
"19","147",80,3710
"19","149",165,7017
"19","151",82,3938
"19","153",512,26925
"19","155",147,6528
"19","157",123,5828
"19","159",90,4151
"19","161",71,3553
"19","163",300,14212
"19","165",84,4110
"19","167",149,7226
"19","169",311,16141
"19","171",119,5766
"19","173",106,5266
"19","175",103,5337
"19","177",87,3791
"19","179",195,10436
"19","181",171,9102
"19","183",116,5198
"19","185",77,3571
"19","187",171,8456
"19","189",97,4470
"19","191",104,4506
"19","193",251,11847
"19","195",65,3168
"19","197",102,4634
"20","000",33,666
"20","001",85,4042
"20","003",86,3918
"20","005",62,2669
"20","007",139,7134
"20","009",266,13491
"20","011",118,5393
"20","013",134,6400
"20","015",464,24237
"20","017",83,4058
"20","019",144,7222
"20","021",171,7275
"20","023",180,10071
"20","025",121,6136
"20","027",125,6323
"20","029",204,10228
"20","031",127,5388
"20","033",89,4903
"20","035",380,19490
"20","037",168,7043
"20","039",120,6607
"20","041",188,8380
"20","043",60,2502
"20","045",238,11891
"20","047",120,5956
"20","049",68,3194
"20","051",189,10462
"20","053",147,7616
"20","055",390,21366
