"","state_fips","county_fips","county.name","Dollars","Rank.in.State","Percent.Change","Rank.in.State.1"
"266",8,81,"Moffat","42,306","26",5.2,"21"
"267",8,83,"Montezuma","35,870","47",5.4,"18"
"268",8,85,"Montrose","33,784","52",4.3,"44"
"269",8,87,"Morgan","39,956","33",9.4,"5"
"270",8,89,"Otero","33,091","56",3.2,"56"
"271",8,91,"Ouray","46,108","22",3.5,"53"
"272",8,93,"Park","36,899","44",5.1,"22"
"273",8,95,"Phillips","39,290","36",-4.5,"62"
"274",8,97,"Pitkin","112,796","1",3.4,"54"
"275",8,99,"Prowers","38,129","40",3.8,"51"
"276",8,101,"Pueblo","33,666","53",5.1,"23"
"277",8,103,"Rio Blanco","41,185","29",4.5,"39"
"278",8,105,"Rio Grande","37,721","42",4.2,"46"
"279",8,107,"Routt","63,613","3",3.2,"55"
"280",8,109,"Saguache","29,745","60",7,"11"
"281",8,111,"San Juan","31,900","57",3.8,"49"
"282",8,113,"San Miguel","60,426","6",5.3,"20"
"283",8,115,"Sedgwick","47,321","19",6.2,"12"
"284",8,117,"Summit","50,685","15",4.3,"41"
"285",8,119,"Teller","42,705","25",3.8,"50"
"286",8,121,"Washington","46,459","21",13,"2"
"287",8,123,"Weld","38,664","37",5,"26"
"288",8,125,"Yuma","46,491","20",-2.8,"60"
"291",9,1,"Fairfield","98,688","1",4.6,"2"
"292",9,3,"Hartford","56,640","3",4.1,"6"
"293",9,5,"Litchfield","54,593","4",4.8,"1"
"294",9,7,"Middlesex","58,963","2",4,"7"
"295",9,9,"New Haven","50,261","6",4.4,"3"
"296",9,11,"New London","50,271","5",3.7,"8"
"297",9,13,"Tolland","49,598","7",4.1,"4"
"298",9,15,"Windham","40,590","8",4.1,"5"
"301",10,1,"Kent","38,114","3",3.3,"3"
"302",10,3,"New Castle","50,720","1",3.5,"2"
"303",10,5,"Sussex","41,737","2",3.7,"1"
"305",11,1,"District of Columbia","69,838","--",1.8,"--"
"308",12,1,"Alachua","38,903","19",3.6,"23"
"309",12,3,"Baker","27,097","55",3.5,"30"
"310",12,5,"Bay","38,487","21",3.6,"26"
"311",12,7,"Bradford","27,386","54",2.8,"52"
"312",12,9,"Brevard","38,872","20",2.5,"57"
"313",12,11,"Broward","43,283","12",3.9,"17"
"314",12,13,"Calhoun","23,321","63",4.2,"12"
"315",12,15,"Charlotte","36,350","29",3.4,"35"
"316",12,17,"Citrus","34,194","33",3,"47"
"317",12,19,"Clay","37,302","26",3.3,"41"
"318",12,21,"Collier","73,869","1",2.2,"60"
"319",12,23,"Columbia","30,494","43",4.5,"9"
"320",12,27,"DeSoto","21,696","65",3.6,"25"
"321",12,29,"Dixie","24,836","59",5.3,"7"
"322",12,31,"Duval","41,316","17",3.3,"37"
"323",12,33,"Escambia","36,632","28",2.6,"55"
"324",12,35,"Flagler","36,748","27",3.5,"29"
"325",12,37,"Franklin","32,430","38",1.8,"63"
"326",12,39,"Gadsden","28,979","45",3.8,"20"
"327",12,41,"Gilchrist","31,808","40",6.9,"3"
