"state_county_fips","POP_ESTIMATE_2014"
25000,"6,745,408"
25001,"214,914"
25003,"128,715"
25005,"554,194"
25007,"17,356"
25009,"769,091"
25011,"70,862"
25013,"468,161"
25015,"160,939"
25017,"1,570,315"
25019,"10,856"
25021,"692,254"
25023,"507,022"
25025,"767,254"
25027,"813,475"
26000,"9,909,877"
26001,"10,454"
26003,"9,459"
26005,"113,847"
26007,"28,988"
26009,"23,267"
26011,"15,353"
26013,"8,654"
26015,"59,281"
26017,"106,179"
26019,"17,519"
26021,"155,233"
26023,"43,545"
26025,"134,878"
26027,"51,608"
26029,"26,121"
26031,"25,675"
26033,"38,321"
26035,"30,652"
26037,"77,297"
26039,"13,745"
26041,"36,559"
26043,"25,957"
26045,"108,579"
26047,"33,204"
26049,"412,895"
26051,"25,411"
26053,"15,737"
26055,"90,782"
26057,"41,665"
26059,"45,830"
26061,"36,495"
26063,"32,065"
26065,"284,582"
26067,"64,294"
26069,"25,420"
26071,"11,387"
26073,"70,616"
26075,"159,741"
26077,"258,818"
26079,"17,394"
26081,"629,237"
26083,"2,217"
26085,"11,341"
26087,"88,153"
26089,"21,915"
26091,"99,047"
26093,"185,596"
26095,"6,426"
26097,"11,042"
26099,"860,112"
26101,"24,420"
26103,"67,676"
26105,"28,824"
26107,"43,186"
26109,"23,714"
26111,"83,427"
26113,"15,037"
26115,"149,824"
26117,"62,893"
26119,"9,300"
26121,"172,344"
26123,"47,900"
26125,"1,237,868"
26127,"26,221"
26129,"21,039"
26131,"6,172"
26133,"23,169"
26135,"8,371"
26137,"24,158"
26139,"276,292"
26141,"13,004"
26143,"23,955"
26145,"195,012"
26147,"160,078"
26149,"60,946"
26151,"41,587"
26153,"8,171"
26155,"68,933"
26157,"54,000"
26159,"75,199"
26161,"356,874"
26163,"1,764,804"
26165,"32,886"
27000,"5,457,173"
27001,"15,771"
27003,"341,864"
27005,"33,259"
27007,"45,664"
27009,"39,506"
27011,"5,127"
27013,"65,385"
27015,"25,292"
27017,"35,571"
27019,"97,338"
27021,"28,559"
27023,"12,110"
27025,"54,025"
27027,"61,286"
27029,"8,791"
27031,"5,233"
27033,"11,633"
27035,"63,265"
27037,"412,529"
27039,"20,353"
27041,"36,790"
27043,"14,192"
27045,"20,776"
27047,"30,840"
27049,"46,423"
27051,"5,956"
27053,"1,212,064"
27055,"18,738"
27057,"20,573"
27059,"38,413"
27061,"45,589"
27063,"10,269"
27065,"15,930"
27067,"42,285"
27069,"4,435"
27071,"12,856"
27073,"6,891"
27075,"10,680"
27077,"3,918"
27079,"27,770"
27081,"5,788"
27083,"25,665"
27085,"35,882"
27087,"5,505"
27089,"9,417"
27091,"20,220"
27093,"23,107"
27095,"25,884"
27097,"32,810"
27099,"39,323"
27101,"8,470"
27103,"33,093"
27105,"21,590"
27107,"6,639"
27109,"150,287"
27111,"57,635"
27113,"14,058"
27115,"29,095"
27117,"9,281"
27119,"31,704"
27121,"10,984"
27123,"532,655"
27125,"4,043"
27127,"15,515"
27129,"15,025"
27131,"65,151"
27133,"9,553"
27135,"15,679"
27137,"200,949"
27139,"139,672"
27141,"91,126"
27143,"14,918"
27145,"152,912"
27147,"36,573"
27149,"9,800"
27151,"9,436"
27153,"24,264"
27155,"3,387"
27157,"21,362"
27159,"13,757"
27161,"19,025"
27163,"249,283"
27165,"11,083"
27167,"6,495"
27169,"51,097"
27171,"129,918"
27173,"10,109"
28000,"2,994,079"
28001,"31,737"
28003,"37,380"
28005,"12,629"
28007,"19,163"
28009,"8,296"
28011,"33,768"
28013,"14,745"
28015,"10,254"
28017,"17,313"
28019,"8,294"
28021,"9,080"
28023,"16,299"
28025,"20,225"
28027,"24,807"
28029,"28,797"
28031,"19,442"
28033,"170,913"
28035,"76,330"
28037,"7,833"
