"state_fips","county_fips","n_storms","total_intensity"
"18","167",18,19
"18","169",17,18
"18","171",9,12
"18","173",14,14
"18","175",23,30
"18","177",15,11
"18","179",12,12
"18","181",18,13
"18","183",14,10
"19","001",22,24
"19","003",14,15
"19","005",7,5
"19","007",16,16
"19","009",11,5
"19","011",24,14
"19","013",31,29
"19","015",39,43
"19","017",20,18
"19","019",35,31
"19","021",17,17
"19","023",20,19
"19","025",22,19
"19","027",24,22
"19","029",28,27
"19","031",28,26
"19","033",30,24
"19","035",22,15
"19","037",22,15
"19","039",12,16
"19","041",36,28
"19","043",12,12
"19","045",31,25
"19","047",31,24
"19","049",43,22
"19","051",17,18
"19","053",15,19
"19","055",26,27
"19","057",15,19
"19","059",20,18
"19","061",21,26
"19","063",18,13
"19","065",25,23
"19","067",14,15
"19","069",21,18
"19","071",28,31
"19","073",19,10
"19","075",29,30
"19","077",18,20
"19","079",32,21
"19","081",23,26
"19","083",24,19
"19","085",20,23
"19","087",12,12
"19","089",28,41
"19","091",16,11
"19","093",12,16
"19","095",25,25
"19","097",12,10
"19","099",25,12
"19","101",8,5
"19","103",26,22
"19","105",24,15
"19","107",25,20
"19","109",31,30
"19","111",30,21
"19","113",43,42
"19","115",9,12
"19","117",7,6
"19","119",38,28
"19","121",17,12
"19","123",18,20
"19","125",21,17
"19","127",28,29
"19","129",16,12
"19","131",15,13
"19","133",25,19
"19","135",9,6
"19","137",22,20
"19","139",26,21
"19","141",32,24
"19","143",22,19
"19","145",31,45
"19","147",18,19
"19","149",43,44
"19","151",27,33
"19","153",46,33
"19","155",36,35
"19","157",22,27
"19","159",18,22
"19","161",15,17
"19","163",40,35
"19","165",21,13
"19","167",35,26
"19","169",48,46
"19","171",39,39
"19","173",29,34
"19","175",27,23
"19","177",20,27
"19","179",20,16
"19","181",35,27
"19","183",14,15
"19","185",24,29
"19","187",37,31
"19","189",17,13
"19","191",14,11
"19","193",51,41
"19","195",16,24
"19","197",26,21
"20","001",23,14
"20","003",15,24
"20","005",16,10
"20","007",32,18
"20","009",87,52
"20","011",16,14
"20","013",41,27
"20","015",70,33
"20","017",34,18
"20","019",17,0
"20","021",35,29
"20","023",40,0
"20","025",37,17
"20","027",34,18
"20","029",40,22
"20","031",22,14
"20","033",38,22
"20","035",65,31
"20","037",28,35
"20","039",41,18
"20","041",34,23
