"state_fips","county_fips","STNAME","CTYNAME","YEAR","TOT_POP","WA","BA","IA","AA","Na","NH","H"
6,73,"California","San Diego County",3,3104543,2395320,172890,41423,351997,18474,2107983,996560
6,75,"California","San Francisco County",3,805825,439645,51251,6962,272431,3787,683716,122109
6,77,"California","San Joaquin County",3,687513,472584,56712,13579,106627,4821,419681,267832
6,79,"California","San Luis Obispo County",3,269860,241809,6170,3617,9425,515,213736,56124
6,81,"California","San Mateo County",3,719951,466098,22711,6394,183799,11434,536893,183058
6,83,"California","Santa Barbara County",3,424331,367110,9999,9368,22720,1062,241941,182390
6,85,"California","Santa Clara County",3,1786930,1046930,51813,24951,586117,8756,1306442,480488
6,87,"California","Santa Cruz County",3,263213,232511,3553,4511,12356,464,178647,84566
6,89,"California","Shasta County",3,177286,158232,1614,5495,4574,312,162324,14962
6,91,"California","Sierra County",3,3221,3083,6,50,12,3,2947,274
6,93,"California","Siskiyou County",3,44971,39572,602,1978,561,112,40305,4666
6,95,"California","Solano County",3,414101,251362,63469,5002,63215,4160,314239,99862
6,97,"California","Sonoma County",3,484666,426661,8802,10609,19451,1803,363716,120950
6,99,"California","Stanislaus County",3,515283,436717,16864,9591,28677,4326,298754,216529
6,101,"California","Sutter County",3,94814,71756,2217,2147,14507,373,67423,27391
6,103,"California","Tehama County",3,63638,58122,475,2092,751,91,49630,14008
6,105,"California","Trinity County",3,13755,12220,61,710,101,18,12786,969
6,107,"California","Tulare County",3,443292,393038,9543,12217,17330,974,173962,269330
6,109,"California","Tuolumne County",3,55168,50358,1198,1190,618,85,49233,5935
6,111,"California","Ventura County",3,825353,705496,18026,14868,58844,2251,492083,333270
6,113,"California","Yolo County",3,201167,154224,5798,3706,27059,1209,139946,61221
6,115,"California","Yuba County",3,72390,57684,2708,2184,5228,343,54195,18195
8,1,"Colorado","Adams County",3,443668,389424,15190,9407,16956,894,274825,168843
8,3,"Colorado","Alamosa County",3,15901,14151,253,812,216,35,8646,7255
8,5,"Colorado","Arapahoe County",3,574577,455624,61119,6406,30201,1391,468669,105908
8,7,"Colorado","Archuleta County",3,12065,11326,36,342,114,7,9919,2146
8,9,"Colorado","Baca County",3,3787,3633,24,59,6,0,3441,346
8,11,"Colorado","Bent County",3,6509,5651,505,194,67,5,4526,1983
8,13,"Colorado","Boulder County",3,295967,270933,2908,2445,12544,237,256459,39508
8,14,"Colorado","Broomfield County",3,56266,50337,635,428,3503,47,49960,6306
8,15,"Colorado","Chaffee County",3,17803,16959,280,225,118,14,16124,1679
8,17,"Colorado","Cheyenne County",3,1835,1787,7,15,11,1,1658,177
8,19,"Colorado","Clear Creek County",3,9105,8776,60,84,50,3,8665,440
8,21,"Colorado","Conejos County",3,8277,7757,46,275,38,12,3652,4625
8,23,"Colorado","Costilla County",3,3528,3172,48,191,39,10,1202,2326
8,25,"Colorado","Crowley County",3,5845,4968,559,178,62,0,4149,1696
8,27,"Colorado","Custer County",3,4276,4115,44,31,16,0,4071,205
8,29,"Colorado","Delta County",3,30870,29568,178,396,177,22,26511,4359
8,31,"Colorado","Denver County",3,603365,486072,64709,12561,21539,834,411760,191605
8,33,"Colorado","Dolores County",3,2062,1950,4,60,2,2,1982,80
8,35,"Colorado","Douglas County",3,286920,264160,3710,1390,11043,257,265283,21637
8,37,"Colorado","Eagle County",3,52099,49879,445,596,570,37,36408,15691
8,39,"Colorado","Elbert County",3,23107,22166,173,165,181,28,21882,1225
8,41,"Colorado","El Paso County",3,626895,529315,41561,8004,18019,2516,531958,94937
8,43,"Colorado","Fremont County",3,46885,43133,1851,865,299,26,41079,5806
8,45,"Colorado","Garfield County",3,56077,53047,570,1010,425,77,40209,15868
8,47,"Colorado","Gilpin County",3,5463,5201,29,49,86,10,5180,283
8,49,"Colorado","Grand County",3,14786,14253,65,92,132,8,13679,1107
