"n_storms","total_intensity","intensity_per_area","state_fips","county_fips"
NA,1000,5458.45184593863,35,45
6,257537.037037037,235482.857229173,36,51
1,96281.8287037037,10858165.5982309,36,61
4,126188.078703704,87391.0014521854,36,65
2,128000,277814.570635772,36,67
1,125000,432943.645460745,36,77
46,11576932.8703704,788907.898814319,36,103
3,537281.828703704,549214.36431709,36,111
46,6776200.81018518,652278.663789694,37,17
NA,1000,5458.45184593863,37,43
57,8884865.16203704,644819.312072096,37,47
12,666333.912037037,379210.690391111,37,57
4,85250,149240.294709219,37,87
12,773837.962962963,642684.38160169,37,93
23,4295884.25925926,1542717.44609254,37,103
14,2477838.54166667,1484285.50254554,37,117
15,784589.699074074,372414.050468158,37,127
50,12307482.6388889,1203498.35719256,37,133
66,14420947.9166667,975505.710247423,37,141
19,2896199.65277778,903782.612759773,37,147
50,6246068.28703704,516034.24864331,37,163
1,72337.9629629629,696058.970458614,37,167
6,97141.2037037037,116449.122553744,37,173
10,1104942.12962963,675705.213947956,37,179
23,1329748.84259259,261171.995057339,37,183
NA,1000,5458.45184593863,38,17
NA,1000,5458.45184593863,38,53
NA,1000,5458.45184593863,38,67
NA,1000,5458.45184593863,38,97
2,16625,72058.6299109397,39,39
3,32250,109524.399538875,39,95
1,8000,69816.3707842652,39,115
2,16000,30655.9365633117,40,43
4,33489.0046296296,20378.7562342613,40,79
4,39625,16477.7068330521,40,113
NA,1000,5458.45184593863,40,133
NA,1000,5458.45184593863,40,143
NA,1000,5458.45184593863,41,5
NA,1000,5458.45184593863,41,19
NA,1000,5458.45184593863,41,23
NA,1000,5458.45184593863,41,39
NA,1000,5458.45184593863,41,43
NA,1000,5458.45184593863,41,45
NA,1000,5458.45184593863,41,51
NA,1000,5458.45184593863,41,55
3,146291.666666667,265748.742361981,42,5
1,15625,92165.6638071941,42,31
5,746212.962962963,598020.015912018,42,35
1,29313.0787037037,562928.926285464,42,45
7,646069.444444444,437634.663843621,42,55
5,668941.550925926,547487.181188224,42,61
3,191589.12037037,478388.023225664,42,91
2,178395.25462963,302190.090772912,42,111
6,344634.837962963,227723.666682849,42,123
4,141962.962962963,150514.551031132,42,125
6,107052.662037037,92639.9490371929,45,7
3,421734.375,1383190.37261291,45,21
23,1387579.86111111,419577.33913486,45,31
49,10613686.3425926,748561.121589072,45,51
19,974474.537037037,492581.002424717,45,61
8,275357.060185185,263228.90860911,45,77
15,693183.449074074,259772.584113603,45,91
NA,1000,5458.45184593863,46,85
NA,1000,5458.45184593863,46,95
NA,1000,5458.45184593863,46,103
NA,1000,5458.45184593863,47,5
1,15625,195868.533131871,47,21
3,106285.300925926,316920.913133446,47,31
NA,1000,5458.45184593863,47,35
5,92375,128128.070164127,47,85
2,16000,101482.94365596,47,91
1,22745.3703703704,356394.398339806,47,105
3,46875,280125.09103279,47,121
4,74687.5,171319.778217056,47,135
5,77250,151388.830486632,47,145
1,27000,194584.111870395,47,151
10,213932.87037037,80445.8484321436,48,1
