"state_county_fips","POVALL_2014","PCTPOVALL_2014"
18095,"20,564",16.7
18097,"194,803",21.3
18099,"5,041",10.9
18101,"1,351",13.5
18103,"5,543",17.1
18105,"30,812",24
18107,"4,544",12.3
18109,"7,917",11.5
18111,"1,607",11.5
18113,"5,159",11.1
18115,"659",11.1
18117,"3,463",18
18119,"3,180",15.4
18121,"2,719",17.5
18123,"2,754",15.5
18125,"1,393",11.3
18127,"16,369",10
18129,"2,703",10.7
18131,"1,806",14.2
18133,"4,341",13.5
18135,"4,003",16.1
18137,"2,980",10.7
18139,"2,387",14.4
18141,"44,228",17.2
18143,"4,106",17.6
18145,"5,142",11.8
18147,"1,908",9.3
18149,"3,552",15.5
18151,"4,208",12.8
18153,"3,158",16.9
18155,"1,793",17.4
18157,"37,311",22.1
18159,"1,448",9.5
18161,"988",13.8
18163,"30,984",17.7
18165,"2,135",13.9
18167,"19,910",20.2
18169,"4,621",15.2
18171,"811",9.9
18173,"4,926",8.2
18175,"4,455",16.2
18177,"11,570",17.8
18179,"2,916",10.7
18181,"2,680",11.2
18183,"3,088",9.4
19000,"368,678",12.3
19001,"751",10.3
19003,"466",12.2
19005,"1,701",12.4
19007,"2,191",17.5
19009,"626",11.1
19011,"2,220",8.8
19013,"18,419",14.5
19015,"2,671",10.4
19017,"1,734",7.6
19019,"2,208",10.7
19021,"2,415",12.4
19023,"1,454",9.9
19025,"1,261",13.7
19027,"2,001",9.9
19029,"1,717",13.1
19031,"1,432",7.9
19033,"5,047",12
19035,"1,099",9.6
19037,"1,183",9.8
19039,"1,305",14.4
19041,"1,858",11.5
19043,"1,878",10.8
19045,"6,050",12.9
19047,"1,965",11.6
19049,"4,745",6.2
19051,"1,330",15.4
19053,"1,586",21.3
19055,"1,532",8.9
19057,"6,208",15.7
19059,"1,234",7.4
19061,"10,654",11.5
19063,"1,074",11.3
19065,"2,807",14.4
19067,"2,010",12.7
19069,"1,234",12.1
19071,"804",11.7
19073,"1,192",13.2
19075,"812",6.7
19077,"1,304",12.4
19079,"1,400",9.4
19081,"914",8.4
19083,"1,916",11.7
19085,"1,540",11
19087,"2,487",13.3
19089,"1,124",12.1
19091,"956",10.1
19093,"754",10.9
19095,"1,211",7.5
19097,"2,172",11.3
19099,"3,923",11.2
19101,"2,673",16.9
19103,"21,391",15.9
19105,"2,232",11.6
19107,"1,362",13.5
19109,"1,442",9.6
19111,"5,991",17.7
19113,"19,779",9.3
19115,"1,216",11.1
19117,"1,376",16
19119,"906",7.9
19121,"1,357",8.8
19123,"2,797",12.9
19125,"3,538",11.1
19127,"5,113",13
19129,"1,384",9.7
19131,"1,209",11.5
19133,"1,254",14.3
19135,"916",11.7
19137,"1,961",19.3
19139,"4,799",11.4
19141,"1,417",10.3
19143,"557",9.1
19145,"2,056",14.6
19147,"1,001",11.5
19149,"1,863",7.6
19151,"897",12.9
19153,"58,971",13.1
19155,"11,120",12.3
19157,"2,063",12.1
19159,"804",16.6
19161,"1,060",10.8
19163,"20,437",12.2
19165,"1,118",9.6
19167,"2,405",7.5
19169,"16,276",19.5
19171,"2,210",12.9
19173,"793",13.1
19175,"1,560",12.8
19177,"1,063",14.4
19179,"5,709",16.7
19181,"2,925",6.3
19183,"2,210",10.2
19185,"1,050",16.7
19187,"5,550",16.3
19189,"1,056",10.4
19191,"1,747",9.4
19193,"15,151",15.2
19195,"823",11
19197,"1,511",12
20000,"381,506",13.5
20001,"2,267",18.2
20003,"1,107",14.3
20005,"2,666",17.4
20007,"600",12.4
20009,"4,739",17.8
20011,"2,637",18.4
20013,"1,680",17.3
20015,"7,194",11.3
20017,"334",13.2
20019,"555",16.4
20021,"3,573",17.4
20023,"303",11.5
20025,"270",13
20027,"887",10.9
20029,"1,250",14
20031,"905",10.9
20033,"213",11.4
20035,"5,086",15
20037,"7,764",20.8
20039,"389",13.9
20041,"2,115",11.1
20043,"1,109",15
