"state_county_fips","POVALL_2014"
18141,"44,228"
18143,"4,106"
18145,"5,142"
18147,"1,908"
18149,"3,552"
18151,"4,208"
18153,"3,158"
18155,"1,793"
18157,"37,311"
18159,"1,448"
18161,"988"
18163,"30,984"
18165,"2,135"
18167,"19,910"
18169,"4,621"
18171,"811"
18173,"4,926"
18175,"4,455"
18177,"11,570"
18179,"2,916"
18181,"2,680"
18183,"3,088"
19000,"368,678"
19001,"751"
19003,"466"
19005,"1,701"
19007,"2,191"
19009,"626"
19011,"2,220"
19013,"18,419"
19015,"2,671"
19017,"1,734"
19019,"2,208"
19021,"2,415"
19023,"1,454"
19025,"1,261"
19027,"2,001"
19029,"1,717"
19031,"1,432"
19033,"5,047"
19035,"1,099"
19037,"1,183"
19039,"1,305"
19041,"1,858"
19043,"1,878"
19045,"6,050"
19047,"1,965"
19049,"4,745"
19051,"1,330"
19053,"1,586"
19055,"1,532"
19057,"6,208"
19059,"1,234"
19061,"10,654"
19063,"1,074"
19065,"2,807"
19067,"2,010"
19069,"1,234"
19071,"804"
19073,"1,192"
19075,"812"
19077,"1,304"
19079,"1,400"
19081,"914"
19083,"1,916"
19085,"1,540"
19087,"2,487"
19089,"1,124"
19091,"956"
19093,"754"
19095,"1,211"
19097,"2,172"
19099,"3,923"
19101,"2,673"
19103,"21,391"
19105,"2,232"
19107,"1,362"
19109,"1,442"
19111,"5,991"
19113,"19,779"
19115,"1,216"
19117,"1,376"
19119,"906"
19121,"1,357"
19123,"2,797"
19125,"3,538"
19127,"5,113"
19129,"1,384"
19131,"1,209"
19133,"1,254"
19135,"916"
19137,"1,961"
19139,"4,799"
19141,"1,417"
19143,"557"
19145,"2,056"
19147,"1,001"
19149,"1,863"
19151,"897"
19153,"58,971"
19155,"11,120"
19157,"2,063"
19159,"804"
19161,"1,060"
19163,"20,437"
19165,"1,118"
19167,"2,405"
19169,"16,276"
19171,"2,210"
19173,"793"
19175,"1,560"
19177,"1,063"
19179,"5,709"
19181,"2,925"
19183,"2,210"
19185,"1,050"
19187,"5,550"
19189,"1,056"
19191,"1,747"
19193,"15,151"
19195,"823"
19197,"1,511"
20000,"381,506"
20001,"2,267"
20003,"1,107"
20005,"2,666"
20007,"600"
20009,"4,739"
20011,"2,637"
20013,"1,680"
20015,"7,194"
20017,"334"
20019,"555"
20021,"3,573"
20023,"303"
20025,"270"
20027,"887"
20029,"1,250"
20031,"905"
20033,"213"
20035,"5,086"
20037,"7,764"
20039,"389"
20041,"2,115"
20043,"1,109"
20045,"20,961"
20047,"314"
20049,"461"
20051,"3,646"
20053,"670"
20055,"6,871"
20057,"5,106"
20059,"3,328"
20061,"4,966"
20063,"277"
20065,"304"
20067,"844"
20069,"497"
20071,"138"
20073,"1,048"
20075,"333"
20077,"733"
20079,"4,265"
20081,"436"
20083,"166"
20085,"1,377"
20087,"1,745"
20089,"407"
20091,"37,315"
20093,"465"
20095,"836"
20097,"302"
20099,"3,754"
20101,"183"
20103,"7,856"
20105,"395"
20107,"1,388"
20109,"266"
20111,"5,721"
20113,"2,478"
20115,"1,360"
20117,"1,094"
20119,"494"
20121,"3,061"
20123,"674"
20125,"5,888"
20127,"703"
20129,"335"
20131,"974"
20133,"2,804"
20135,"301"
20137,"639"
20139,"2,021"
20141,"470"
20143,"620"
20145,"817"
20147,"621"
20149,"2,262"
20151,"974"
20153,"299"
20155,"9,577"
20157,"594"
20159,"1,369"
20161,"13,379"
20163,"608"
20165,"379"
20167,"913"
20169,"7,044"
20171,"411"
20173,"73,532"
20175,"3,617"
20177,"26,058"
20179,"273"
20181,"968"
20183,"500"
20185,"594"
20187,"236"
20189,"554"
20191,"3,064"
20193,"851"
20195,"279"
20197,"666"
20199,"178"
20201,"590"
20203,"246"
20205,"1,478"
20207,"569"
20209,"39,074"
21000,"812,803"
21001,"4,644"
21003,"3,816"
21005,"2,450"
21007,"1,359"
21009,"8,247"
21011,"2,733"
21013,"8,955"
21015,"10,009"
21017,"3,774"
21019,"10,705"
21021,"4,627"
21023,"1,540"
21025,"4,340"
21027,"3,740"
21029,"9,474"
21031,"2,596"
21033,"2,282"
21035,"7,052"
21037,"11,724"
21039,"833"
21041,"2,139"
21043,"6,322"
21045,"4,699"
21047,"14,868"
21049,"5,615"
21051,"7,267"
21053,"2,565"
21055,"1,823"
21057,"1,841"
21059,"14,370"
21061,"2,366"
21063,"2,133"
21065,"4,254"
21067,"59,007"
21069,"2,795"
21071,"11,702"
21073,"6,184"
21075,"1,812"
21077,"1,419"
21079,"3,004"
21081,"4,103"
21083,"6,550"
21085,"5,488"
21087,"2,339"
21089,"5,846"
21091,"1,193"
21093,"14,905"
21095,"9,436"
21097,"3,386"
21099,"4,200"
21101,"8,227"
21103,"2,814"
21105,"828"
21107,"7,594"
21109,"3,514"
21111,"124,850"
21113,"7,190"
21115,"5,817"
21117,"24,923"
21119,"5,113"
21121,"10,824"
21123,"2,486"
21125,"14,610"
21127,"4,041"
21129,"2,292"
21131,"3,514"
21133,"6,949"
21135,"4,707"
21137,"6,650"
21139,"1,299"
21141,"4,486"
21143,"1,108"
21145,"11,214"
21147,"7,525"
21149,"1,580"
21151,"15,947"
21153,"3,850"
21155,"4,065"
21157,"3,977"
21159,"4,401"
21161,"3,115"
21163,"3,616"
21165,"1,668"
21167,"3,720"
21169,"2,484"
21171,"2,748"
21173,"5,620"
21175,"3,489"
21177,"6,368"
21179,"5,618"
21181,"1,342"
21183,"4,633"
21185,"3,211"
21187,"1,848"
21189,"1,984"
21191,"2,229"
21193,"7,401"
21195,"16,796"
21197,"3,247"
21199,"16,338"
21201,"492"
21203,"3,956"
21205,"4,953"
21207,"4,608"
21209,"5,406"
21211,"5,548"
21213,"2,610"
21215,"1,545"
21217,"6,333"
21219,"2,368"
21221,"2,218"
21223,"1,408"
21225,"2,832"
21227,"20,900"
21229,"2,284"
21231,"5,252"
21233,"2,220"
21235,"10,097"
21237,"2,558"
21239,"2,812"
22000,"898,902"
22001,"13,527"
22003,"4,832"
22005,"15,873"
22007,"4,067"
22009,"9,639"
22011,"6,559"
22013,"3,704"
22015,"17,520"
22017,"59,514"
22019,"35,591"
22021,"2,168"
22023,"809"
22025,"2,158"
22027,"3,789"
22029,"5,855"
22031,"6,298"
22033,"80,273"
22035,"2,751"
22037,"3,543"
22039,"7,757"
22041,"5,718"
22043,"4,417"
22045,"14,132"
22047,"5,867"
22049,"3,679"
22051,"68,333"
22053,"6,700"
22055,"34,809"
22057,"16,903"
22059,"2,447"
22061,"12,699"
22063,"16,499"
22065,"4,250"
22067,"7,608"
22069,"11,500"
22071,"103,855"
22073,"35,619"
22075,"3,715"
22077,"4,072"
22079,"25,480"
22081,"2,140"
22083,"4,932"
22085,"5,022"
22087,"7,869"
22089,"6,272"
22091,"2,515"
22093,"3,450"
22095,"8,995"
22097,"24,857"
22099,"9,460"
22101,"11,395"
22103,"27,292"
22105,"27,726"
22107,"1,538"
22109,"23,321"
22111,"4,835"
22113,"10,775"
22115,"6,911"
22117,"12,979"
22119,"8,681"
22121,"5,012"
22123,"2,492"
22125,"2,415"
22127,"3,487"
23000,"181,737"
23001,"16,125"
23003,"13,603"
23005,"30,257"
23007,"4,592"
23009,"6,886"
23011,"16,257"
23013,"5,315"
23015,"3,951"
23017,"9,083"
23019,"26,330"
23021,"3,403"
23023,"3,642"
23025,"8,681"
23027,"5,752"
23029,"5,725"
23031,"22,134"
24000,"604,762"
24001,"12,063"
24003,"36,632"
24005,"78,935"
24009,"6,441"
24011,"5,108"
24013,"9,673"
24015,"10,751"
24017,"11,000"
24019,"5,608"
24021,"15,670"
24023,"3,610"
24025,"19,664"
24027,"18,818"
24029,"2,544"
24031,"73,213"
24033,"91,060"
24035,"3,620"
24037,"9,239"
24039,"5,197"
24041,"4,333"
24043,"19,416"
