"","state_fips","county_fips","STNAME","CTYNAME","land_area","hail_tot_intensity","tornado_tot_intensity","wind_tot_intensity","highfirerisk"
"180",5,137,"Arkansas","Stone County",0.1575125132805,75.66,20,3680,0
"181",5,139,"Arkansas","Union County",0.264267657816253,154.2,41,6077,0.000133372455920403
"182",5,141,"Arkansas","Van Buren County",0.186524299393499,144.33,37,5575,0
"183",5,143,"Arkansas","Washington County",0.246504662166237,290.65,29,8911,0.00076770897924233
"184",5,145,"Arkansas","White County",0.267348839819498,251.25,70,9946,0
"185",5,147,"Arkansas","Woodruff County",0.152274962162,48.14,50,3793,0
"186",5,149,"Arkansas","Yell County",0.242681985277501,161.07,27,7617,0
"187",6,1,"California","Alameda County",0.199046906525583,0.75,0,62,0.241041370539388
"190",6,7,"California","Butte County",0.455945588590001,7.25,10,180,0.530293367346939
"194",6,15,"California","Del Norte County",0.284583237000346,0.75,2,50,0.718103687274743
"195",6,17,"California","El Dorado County",0.479625886185365,7.88,0,62,0.824073199155879
"196",6,19,"California","Fresno County",1.5711642788005,60.01,9,986,0.230360412247554
"197",6,21,"California","Glenn County",0.3601861684465,4.63,8,0,0.27900857312622
"198",6,23,"California","Humboldt County",0.996460853806378,4.75,2,411,0.659355904726275
"199",6,25,"California","Imperial County",1.12038661550244,10.75,2,2441,0.00179012229361775
"200",6,27,"California","Inyo County",2.66528151636126,2.5,0,384,0.0528682243067804
"201",6,29,"California","Kern County",2.0959725158835,29.16,1,1534,0.246163449136819
"202",6,31,"California","Kings County",0.3605880754255,23.27,4,315,0.0457045785471606
"205",6,37,"California","Los Angeles County",1.04037164887913,22.35,12,2175,0.418083478046001
"206",6,39,"California","Madera County",0.5660606273955,13.88,3,168,0.424544337229675
"207",6,41,"California","Marin County",0.144648966222639,1,1,60,0.554883095385888
"208",6,43,"California","Mariposa County",0.3865307527745,5.26,0,235,0.661281015579919
"209",6,45,"California","Mendocino County",0.952374419247408,3.75,1,0,0.633163816922276
"210",6,47,"California","Merced County",0.520049000228001,7,4,315,0.31849544051328
"215",6,57,"California","Nevada County",0.263450095487288,13.63,1,165,0.680769897693775
"216",6,59,"California","Orange County",0.20125268918246,10,19,1197,0.283882332217721
"217",6,61,"California","Placer County",0.404984484969748,3.75,0,0,0.546769599760156
"219",6,65,"California","Riverside County",1.84021760011648,21.15,8,4615,0.287894322982515
"220",6,67,"California","Sacramento County",0.265764131458,5.5,4,403,0.157639930919283
"222",6,71,"California","San Bernardino County",5.13219349070353,51.12,12,5515,0.0693829839358835
"223",6,73,"California","San Diego County",1.0648498385104,36.78,8,1785,0.55354959789066
"225",6,77,"California","San Joaquin County",0.378621859105501,2.75,3,93,0.0941731475267459
"226",6,79,"California","San Luis Obispo County",0.853982487563483,3,0,317,0.387452687197812
"228",6,83,"California","Santa Barbara County",0.700942988040903,4.88,1,461,0.385057765316251
"229",6,85,"California","Santa Clara County",0.342180906011771,1,5,70,0.4318285059162
"233",6,93,"California","Siskiyou County",1.77539539015578,15.13,1,303,0.547907484103265
"234",6,95,"California","Solano County",0.237307090384145,4,0,64,0.101634886000696
"236",6,99,"California","Stanislaus County",0.399936364050501,2.63,8,52,0.294910151822051
"238",6,103,"California","Tehama County",0.8108767538915,12.5,5,50,0.517681038250328
"240",6,107,"California","Tulare County",1.2561345468905,16.63,1,973,0.355725155315634
"242",6,111,"California","Ventura County",0.471969931400908,6.25,0,102,0.394499583301765
"243",6,113,"California","Yolo County",0.274396715037,1,0,135,0.0962808098591549
"245",8,1,"Colorado","Adams County",0.322787800424,405.39,74,3486,0
"246",8,3,"Colorado","Alamosa County",0.19102183698,12.76,7,481,0.00167386819261162
"247",8,5,"Colorado","Arapahoe County",0.218905835453,484.04,29,4059,6.9864114297691e-05
"248",8,7,"Colorado","Archuleta County",0.356110191270069,4.38,0,609,0.400926637717895
"249",8,9,"Colorado","Baca County",0.673409806556099,366.02,31,2690,0.0119959499911956
"250",8,11,"Colorado","Bent County",0.409206683786001,157.41,18,1750,0.00520481399638402
"251",8,13,"Colorado","Boulder County",0.2025518381745,222.97,10,2814,0.0451245010454286
"253",8,15,"Colorado","Chaffee County",0.272450862203,7.38,0,185,0.00246749286090549
"254",8,17,"Colorado","Cheyenne County",0.478740674663129,429.09,20,6706,3.15915840020219e-05
"255",8,19,"Colorado","Clear Creek County",0.10774865915,16.63,0,63,0.0797471950007101
"258",8,25,"Colorado","Crowley County",0.213317879740502,84.68,-1,555,3.5196395889061e-05
"259",8,27,"Colorado","Custer County",0.1968114551845,78.58,3,122,0.0567537753432995
"260",8,29,"Colorado","Delta County",0.308746755507998,4.01,1,465,0.178619557493936
"261",8,31,"Colorado","Denver County",0.0421050069665008,214.77,12,3490,0
"263",8,35,"Colorado","Douglas County",0.228056313122,289.23,28,1472,0.0896190189989649
"264",8,37,"Colorado","Eagle County",0.4598485975695,1.5,1,1756,0.0943311487408097
"265",8,39,"Colorado","Elbert County",0.500374878379499,457.85,29,2639,0.00261616852992623
"266",8,41,"Colorado","El Paso County",0.572307447860502,1202.14,39,5308,0.0293348132878776
"267",8,43,"Colorado","Fremont County",0.410080218956999,79.21,4,346,0.0335829112530279
"270",8,49,"Colorado","Grand County",0.511417853980001,2.25,1,298,0.00769404501995031
"273",8,55,"Colorado","Huerfano County",0.4214831211365,82.56,3,0,0.0464840989399293
"275",8,59,"Colorado","Jefferson County",0.210174374647999,375.84,7,1683,0.102196683153913
"276",8,61,"Colorado","Kiowa County",0.477091434617986,310.61,25,2315,0.000110343957880135
"277",8,63,"Colorado","Kit Carson County",0.584635518357901,712.43,38,8932,0
"279",8,67,"Colorado","La Plata County",0.447324792837026,19.01,3,663,0.37036546390899
"280",8,69,"Colorado","Larimer County",0.726378374156666,498.71,18,5098,0.023095749569827
"281",8,71,"Colorado","Las Animas County",1.25693094310995,253.48,9,1514,0.0523405258813819
"282",8,73,"Colorado","Lincoln County",0.696393012165998,480.87,40,4089,0.000261227333086619
"283",8,75,"Colorado","Logan County",0.509337628746306,487.61,32,5584,1.52550646814742e-05
"284",8,77,"Colorado","Mesa County",0.900118823060013,44.04,1,4938,0.337809490914298
"286",8,81,"Colorado","Moffat County",1.30951387247097,15.28,2,841,0.192427339792018
"287",8,83,"Colorado","Montezuma County",0.537380591795576,20.51,3,1025,0.36760141798971
"288",8,85,"Colorado","Montrose County",0.598970259184352,10.51,3,832,0.375795458824415
"289",8,87,"Colorado","Morgan County",0.354773528056501,487.23,36,5611,0
"290",8,89,"Colorado","Otero County",0.337102588914499,205.73,15,4343,0.00334663120567376
"292",8,93,"Colorado","Park County",0.596506906052501,29.76,5,123,0.0170831370851738
"293",8,95,"Colorado","Phillips County",0.189559334927147,197.72,14,3621,0
"294",8,97,"Colorado","Pitkin County",0.262850759755499,5,2,414,0.103790509259259
"295",8,99,"Colorado","Prowers County",0.436583458158696,305.78,30,4245,0.00253346571262282
"296",8,101,"Colorado","Pueblo County",0.638799643925999,425.79,9,5255,0.0124137607359084
