"","state_fips","county_fips","CensusRace...STNAME","CensusRace...CTYNAME","land_area","CensusRace...TOT_POP","CensusRace...H","poverty_pct_2014...PCTPOVALL_2014","hail...total_intensity","tornado...total_intensity","wind...total_intensity","natural_amenities...Scale","highfirerisk","PercUnempl","PercMino"
"126",5,29,"Arkansas","Conway County",0.1453894364,21083,842,18.3,182.2,50,7274,-0.42,0,0.0762225489731063,0.149741497889295
"127",5,31,"Arkansas","Craighead County",0.1841096801606,102518,4779,22.3,144.61,28,5183,-2.24,0,0.00790105152265944,0.178319904797206
"128",5,33,"Arkansas","Crawford County",0.155332774329064,61697,4160,16.6,274.45,31,8164,1.44,0.00102693366942072,0.00481384832325721,0.0853201938505924
"129",5,35,"Arkansas","Crittenden County",0.163152781607754,49548,1135,27.3,100.44,13,2858,-1.05,0,0.0056107209170905,0.54090982481634
"130",5,37,"Arkansas","Cross County",0.159701043623499,17227,322,22.3,60.78,17,1422,-0.95,0,0.0890462645846636,0.250594996226853
"131",5,39,"Arkansas","Dallas County",0.1687602986965,7755,207,21,81.15,24,5800,-1.85,0.00147641947186366,0.126112185686654,0.43571889103804
"132",5,41,"Arkansas","Desha County",0.206664783144265,12264,585,27.3,53.65,22,3170,-1.04,0,0.113666014350946,0.499103065883888
"133",5,43,"Arkansas","Drew County",0.210224876453,18622,548,24,84.29,22,5069,-1.24,0.000303214069132808,0.0925249704650414,0.304478573729997
"134",5,45,"Arkansas","Faulkner County",0.1701013372915,120768,4963,14.7,215.85,80,9344,-0.08,4.23674956573317e-05,0.00873575781664017,0.153525768415474
"135",5,47,"Arkansas","Franklin County",0.159466373934499,17805,527,17.5,193.41,19,9327,2.05,0.00045382346267302,0.0758775624824488,0.0477955630440887
"136",5,49,"Arkansas","Fulton County",0.161350559647181,12125,141,22.6,76.3,19,4877,0.51,0,0.081979381443299,0.0315876288659794
"137",5,51,"Arkansas","Garland County",0.186947147770501,97322,5188,18.7,282.92,42,10395,1.64,0.00348605577689243,0.00807628285485296,0.123476706191817
"138",5,53,"Arkansas","Grant County",0.160505762081001,18144,477,13.3,98.52,19,5344,-1.77,0.141067223530457,0.0764991181657848,0.0518628747795414
"139",5,55,"Arkansas","Greene County",0.150164546527365,43694,1162,16.3,84.19,26,2327,-2,0,0.0033871927495766,0.031239987183595
"140",5,57,"Arkansas","Hempstead County",0.186766832624,22327,2824,24.4,198.2,23,6020,-0.65,0.00151733555875882,0.0737223988892372,0.331974739105119
"141",5,59,"Arkansas","Hot Spring County",0.1578062680365,33368,1102,18.7,197.38,38,8841,0.49,0.130232347888979,0.0568508750899065,0.144299928074802
"142",5,61,"Arkansas","Howard County",0.150680340842,13500,1491,18.8,254.26,26,6845,0.99,0.00122896577802987,0.0897037037037037,0.241703703703704
"143",5,63,"Arkansas","Independence County",0.199119797086001,36959,2164,18.6,156.45,41,7233,0.09,0,0.0033550691306583,0.0552504126193891
"144",5,65,"Arkansas","Izard County",0.151364415047,13486,252,22,134.68,26,5293,1.44,0,0.0900192792525582,0.0461960551683227
"145",5,67,"Arkansas","Jackson County",0.165229114917499,17534,513,25.1,111.66,47,6814,-1.85,0,0.0901676742329189,0.204459906467435
"146",5,69,"Arkansas","Jefferson County",0.231707268667499,72297,1409,26.8,190.81,27,9921,-1.08,6.15896283065932e-05,0.0109548114029628,0.583136229719076
"147",5,71,"Arkansas","Johnson County",0.1758097341725,26005,3508,19.7,167.6,40,7490,2.37,0,0.0659873101326668,0.0661411267064026
"148",5,73,"Arkansas","Lafayette County",0.136564023521904,7111,144,27.5,129.55,9,4494,-0.59,5.16555607211116e-05,0.123751933623963,0.389396709323583
"149",5,75,"Arkansas","Lawrence County",0.153394350534,16931,212,23,99.91,22,2938,-0.1,0,0.0900124032839171,0.0290000590632567
"150",5,77,"Arkansas","Lee County",0.15798092512861,9860,263,39.3,27.13,7,907,-0.42,0,0.0961460446247464,0.568864097363083
"151",5,79,"Arkansas","Lincoln County",0.144543078752,13970,499,29,69.53,14,2267,-1.24,0,0.0811739441660702,0.322548317823908
"152",5,81,"Arkansas","Little River County",0.142255197729707,12532,393,18.2,196.87,22,4288,-0.06,0.0116586119276568,0.0967922119374402,0.243057772103415
"153",5,83,"Arkansas","Logan County",0.1875727213515,21958,586,21.1,103.17,28,6303,1.75,0.000115655962064844,0.0708170143000273,0.0632571272429183
"154",5,85,"Arkansas","Lonoke County",0.2047020041725,71557,2861,12.3,230.87,57,10657,-0.79,0,0.00451388403650237,0.0964825244210909
"155",5,87,"Arkansas","Madison County",0.2167291154415,15740,847,18,195.13,17,5927,-0.43,0,0.0752223634053367,0.0483481575603558
"156",5,89,"Arkansas","Marion County",0.166312521039767,16367,383,20.3,105.7,25,4757,2.74,0,0.0824830451518299,0.0346428789637686
"157",5,91,"Arkansas","Miller County",0.159914460347529,43428,1355,20.8,212.22,24,6937,-0.3,0.0774085352398605,0.00198028921433177,0.283020171318044
"158",5,93,"Arkansas","Mississippi County",0.23736705674004,44235,1754,27.1,119.2,45,4350,-1.76,0,0.00791228665084209,0.372329603255341
"159",5,95,"Arkansas","Monroe County",0.158288510201,7582,167,28.1,84.57,21,3327,-1.13,0,0.115932471643366,0.433262991295173
"160",5,97,"Arkansas","Montgomery County",0.203537277441999,9082,326,20.1,136.1,10,4473,1.32,0,0.106584452763708,0.0488879101519489
"161",5,99,"Arkansas","Nevada County",0.156287922148499,8723,291,25.1,128.2,19,3831,-2.12,0.000679163270850313,0.102831594634873,0.329359165424739
"162",5,101,"Arkansas","Newton County",0.212900794652001,7904,140,20.1,117.55,7,4245,-0.26,0,0.109311740890688,0.0452935222672065
"163",5,103,"Arkansas","Ouachita County",0.1861075752465,24828,536,23,119.79,15,5982,-0.88,3.81417346860935e-05,0.0749556951828581,0.430199774448204
"164",5,105,"Arkansas","Perry County",0.143280306726001,10245,282,17.3,95.99,20,4455,0.89,0,0.113421181063934,0.0519277696437286
"165",5,107,"Arkansas","Phillips County",0.184791602565165,19930,329,35.3,25.26,23,1621,-0.68,0,0.0868539889613648,0.635323632714501
"166",5,109,"Arkansas","Pike County",0.155507826482,11024,724,20,196.36,24,4958,1.15,0.000596084185428034,0.103955007256894,0.0673984034833091
"167",5,111,"Arkansas","Poinsett County",0.196659109295499,24246,650,21.9,98.43,30,2943,-2.26,0,0.0716406829992576,0.101872473810113
"168",5,113,"Arkansas","Polk County",0.219182893453692,20225,1288,22,208.61,39,5934,1.08,0.00143696930111038,0.0763411619283065,0.0552781211372064
"169",5,115,"Arkansas","Pope County",0.2136070167405,63201,5322,18.3,167.58,25,7241,2.29,0,0.005980918023449,0.0757582949636873
"170",5,117,"Arkansas","Prairie County",0.172427352574499,8304,102,18.7,81.8,18,4997,-0.86,0,0.108140655105973,0.132707129094412
"171",5,119,"Arkansas","Pulaski County",0.205988355872501,392702,23452,16.1,611.55,83,18652,0.85,0.000104766893661603,0.00109497787126116,0.408317248193287
"172",5,121,"Arkansas","Randolph County",0.170554217379693,17571,326,18.3,98.04,14,2414,-0.32,0,0.0870183825621763,0.0315292242900233
"173",5,123,"Arkansas","St. Francis County",0.164357453174001,26899,1181,33.4,82.44,16,1786,-1.28,0,0.0688129670247965,0.555485334027287
"174",5,125,"Arkansas","Saline County",0.1860013725955,115719,4815,8.7,263.2,57,9453,0.49,0.0612425807446235,0.00693058184049292,0.0967948219393531
"175",5,127,"Arkansas","Scott County",0.229268960998033,10693,812,23.7,97.82,5,4415,1.02,9.39084705440431e-05,0.0855699990648087,0.0889366875526045
"176",5,129,"Arkansas","Searcy County",0.1728892376895,7929,167,23.3,104.69,15,4317,1.26,4.20857708008922e-05,0.0812208349098247,0.0450245932652289
"177",5,131,"Arkansas","Sebastian County",0.1402816213822,126776,16935,22.1,315.75,27,11386,1.1,0.000925021840793463,0.00829810058686187,0.171310027134473
"178",5,133,"Arkansas","Sevier County",0.146901379012537,17426,5705,20.4,182.34,19,4400,-0.13,0.034776712196067,0.0766096637208769,0.109606335360955
"179",5,135,"Arkansas","Sharp County",0.157301256722049,16906,359,21.6,94.06,19,4201,0.49,0,0.0898497574825506,0.0408730628179345
"180",5,137,"Arkansas","Stone County",0.1575125132805,12494,227,24.4,75.66,20,3680,1.55,0,0.0975668320793981,0.034496558348007
"181",5,139,"Arkansas","Union County",0.264267657816253,40227,1461,23.1,154.2,41,6077,-0.5,0.000133372455920403,0.00335595495562682,0.355557212817262
"182",5,141,"Arkansas","Van Buren County",0.186524299393499,16851,518,22,144.33,37,5575,2.41,0,0.0906771111506735,0.0372084742745238
"183",5,143,"Arkansas","Washington County",0.246504662166237,220792,35840,19.3,290.65,29,8911,1.22,0.00076770897924233,0.00593318598499946,0.12701094242545
"184",5,145,"Arkansas","White County",0.267348839819498,78592,3318,19.4,251.25,70,9946,-0.84,0,0.00965747149837134,0.0780613802931596
