"","state_fips","county_fips","STNAME","CTYNAME","YEAR","TOT_POP","WA","BA","IA","AA","Na","NH","H"
"3.35683",8,47,"Colorado","Gilpin County",3,5463,5201,29,49,86,10,5180,283
"3.35816",8,49,"Colorado","Grand County",3,14786,14253,65,92,132,8,13679,1107
"3.35949",8,51,"Colorado","Gunnison County",3,15369,14591,62,361,110,3,14114,1255
"3.36082",8,53,"Colorado","Hinsdale County",3,847,814,3,11,4,0,824,23
"3.36215",8,55,"Colorado","Huerfano County",3,6673,6100,41,330,35,15,4308,2365
"3.36348",8,57,"Colorado","Jackson County",3,1383,1342,0,22,1,0,1227,156
"3.36481",8,59,"Colorado","Jefferson County",3,535600,496441,6285,6231,14569,600,458673,76927
"3.36614",8,61,"Colorado","Kiowa County",3,1395,1364,4,7,0,0,1315,80
"3.36747",8,63,"Colorado","Kit Carson County",3,8238,7797,226,71,36,13,6665,1573
"3.36880",8,65,"Colorado","Lake County",3,7263,6893,35,160,34,4,4429,2834
"3.37013",8,67,"Colorado","La Plata County",3,51338,46228,240,3278,323,35,45232,6106
"3.37146",8,69,"Colorado","Larimer County",3,300484,281795,2739,3029,6194,289,268650,31834
"3.37279",8,71,"Colorado","Las Animas County",3,15416,14218,235,513,126,14,9017,6399
"3.37412",8,73,"Colorado","Lincoln County",3,5472,5004,294,56,46,2,4782,690
"3.37545",8,75,"Colorado","Logan County",3,22789,21108,944,301,155,23,19224,3565
"3.37678",8,77,"Colorado","Mesa County",3,146485,138847,1115,2174,1218,185,126975,19510
"3.37811",8,79,"Colorado","Mineral County",3,703,689,2,4,1,0,682,21
"3.37944",8,81,"Colorado","Moffat County",3,13802,13280,45,167,79,11,11811,1991
"3.38077",8,83,"Colorado","Montezuma County",3,25537,21605,68,3192,137,19,22697,2840
"3.38210",8,85,"Colorado","Montrose County",3,41177,39157,222,720,301,39,33052,8125
"3.38343",8,87,"Colorado","Morgan County",3,28141,26262,889,376,171,77,18602,9539
"3.38476",8,89,"Colorado","Otero County",3,18901,17468,175,603,170,24,11258,7643
"3.38609",8,91,"Colorado","Ouray County",3,4460,4346,8,17,26,5,4263,197
"3.38742",8,93,"Colorado","Park County",3,16264,15566,75,173,109,3,15469,795
"3.38875",8,95,"Colorado","Phillips County",3,4460,4341,20,32,27,7,3617,843
"3.39008",8,97,"Colorado","Pitkin County",3,17149,16529,115,59,219,12,15568,1581
"3.39141",8,99,"Colorado","Prowers County",3,12571,12115,75,192,39,2,8138,4433
"3.39274",8,101,"Colorado","Pueblo County",3,159536,145629,3772,4654,1502,233,93426,66110
